Rango -> 1           Palabra -> que                 Aparece 21475 veces       
Rango -> 110         Palabra -> uno                 Aparece 350 veces         
Rango -> 111         Palabra -> tenia               Aparece 350 veces         
Rango -> 112         Palabra -> han                 Aparece 349 veces         
Rango -> 113         Palabra -> menos               Aparece 347 veces         
Rango -> 114         Palabra -> les                 Aparece 347 veces         
Rango -> 115         Palabra -> cosas               Aparece 347 veces         
Rango -> 116         Palabra -> lugar               Aparece 345 veces         
Rango -> 117         Palabra -> aun                 Aparece 343 veces         
Rango -> 118         Palabra -> gran                Aparece 340 veces         
Rango -> 119         Palabra -> soy                 Aparece 336 veces         
Rango -> 120         Palabra -> eso                 Aparece 335 veces         
Rango -> 121         Palabra -> casa                Aparece 334 veces         
Rango -> 122         Palabra -> panza               Aparece 329 veces         
Rango -> 123         Palabra -> manera              Aparece 328 veces         
Rango -> 124         Palabra -> tiempo              Aparece 327 veces         
Rango -> 125         Palabra -> digo                Aparece 323 veces         
Rango -> 126         Palabra -> toda                Aparece 320 veces         
Rango -> 127         Palabra -> cura                Aparece 313 veces         
Rango -> 128         Palabra -> estas               Aparece 312 veces         
Rango -> 129         Palabra -> puesto              Aparece 307 veces         
Rango -> 130         Palabra -> mano                Aparece 304 veces         
Rango -> 131         Palabra -> solo                Aparece 297 veces         
Rango -> 132         Palabra -> amo                 Aparece 297 veces         
Rango -> 133         Palabra -> ellos               Aparece 295 veces         
Rango -> 134         Palabra -> dio                 Aparece 294 veces         
Rango -> 135         Palabra -> mucho               Aparece 294 veces         
Rango -> 136         Palabra -> mejor               Aparece 293 veces         
Rango -> 137         Palabra -> caballeros          Aparece 293 veces         
Rango -> 138         Palabra -> antes               Aparece 291 veces         
Rango -> 139         Palabra -> fuera               Aparece 288 veces         
Rango -> 140         Palabra -> visto               Aparece 285 veces         
Rango -> 141         Palabra -> ojos                Aparece 285 veces         
Rango -> 142         Palabra -> puede               Aparece 285 veces         
Rango -> 143         Palabra -> sea                 Aparece 284 veces         
Rango -> 144         Palabra -> algun               Aparece 283 veces         
Rango -> 145         Palabra -> dulcinea            Aparece 282 veces         
Rango -> 146         Palabra -> dia                 Aparece 274 veces         
Rango -> 147         Palabra -> tierra              Aparece 274 veces         
Rango -> 148         Palabra -> otras               Aparece 273 veces         
Rango -> 149         Palabra -> hecho               Aparece 272 veces         
Rango -> 150         Palabra -> otros               Aparece 265 veces         
Rango -> 151         Palabra -> quiero              Aparece 260 veces         
Rango -> 152         Palabra -> hombre              Aparece 259 veces         
Rango -> 153         Palabra -> padre               Aparece 259 veces         
Rango -> 154         Palabra -> haber               Aparece 254 veces         
Rango -> 155         Palabra -> cuanto              Aparece 254 veces         
Rango -> 156         Palabra -> cielo               Aparece 252 veces         
Rango -> 157         Palabra -> habian              Aparece 251 veces         
Rango -> 158         Palabra -> amigo               Aparece 249 veces         
Rango -> 159         Palabra -> historia            Aparece 249 veces         
Rango -> 160         Palabra -> vio                 Aparece 248 veces         
Rango -> 161         Palabra -> saber               Aparece 247 veces         
Rango -> 162         Palabra -> camino              Aparece 246 veces         
Rango -> 163         Palabra -> parece              Aparece 245 veces         
Rango -> 164         Palabra -> estos               Aparece 243 veces         
Rango -> 165         Palabra -> hizo                Aparece 243 veces         
Rango -> 166         Palabra -> tener               Aparece 242 veces         
Rango -> 167         Palabra -> muchas              Aparece 242 veces         
Rango -> 168         Palabra -> escudero            Aparece 242 veces         
Rango -> 169         Palabra -> dias                Aparece 240 veces         
Rango -> 170         Palabra -> manos               Aparece 239 veces         
Rango -> 171         Palabra -> desta               Aparece 238 veces         
Rango -> 172         Palabra -> tambien             Aparece 234 veces         
Rango -> 173         Palabra -> tres                Aparece 234 veces         
Rango -> 174         Palabra -> fin                 Aparece 234 veces         
Rango -> 175         Palabra -> mujer               Aparece 226 veces         
Rango -> 176         Palabra -> dice                Aparece 225 veces         
Rango -> 177         Palabra -> sera                Aparece 222 veces         
Rango -> 178         Palabra -> cada                Aparece 221 veces         
Rango -> 179         Palabra -> mesmo               Aparece 219 veces         
Rango -> 180         Palabra -> cabeza              Aparece 215 veces         
Rango -> 181         Palabra -> cuenta              Aparece 214 veces         
Rango -> 182         Palabra -> nuestro             Aparece 213 veces         
Rango -> 183         Palabra -> vos                 Aparece 212 veces         
Rango -> 184         Palabra -> noche               Aparece 211 veces         
Rango -> 185         Palabra -> punto               Aparece 211 veces         
Rango -> 186         Palabra -> replico             Aparece 210 veces         
Rango -> 187         Palabra -> fuese               Aparece 207 veces         
Rango -> 188         Palabra -> veces               Aparece 207 veces         
Rango -> 189         Palabra -> rocinante           Aparece 206 veces         
Rango -> 190         Palabra -> vuesa               Aparece 203 veces         
Rango -> 191         Palabra -> parecer             Aparece 202 veces         
Rango -> 192         Palabra -> razones             Aparece 200 veces         
Rango -> 193         Palabra -> muchos              Aparece 200 veces         
Rango -> 194         Palabra -> duque               Aparece 200 veces         
Rango -> 195         Palabra -> diciendo            Aparece 198 veces         
Rango -> 196         Palabra -> caballo             Aparece 197 veces         
Rango -> 197         Palabra -> andante             Aparece 197 veces         
Rango -> 198         Palabra -> grande              Aparece 196 veces         
Rango -> 199         Palabra -> debe                Aparece 196 veces         
Rango -> 200         Palabra -> despues             Aparece 196 veces         
Rango -> 201         Palabra -> gusto               Aparece 195 veces         
Rango -> 202         Palabra -> pie                 Aparece 193 veces         
Rango -> 203         Palabra -> podia               Aparece 193 veces         
Rango -> 204         Palabra -> mil                 Aparece 191 veces         
Rango -> 205         Palabra -> eran                Aparece 191 veces         
Rango -> 206         Palabra -> vez                 Aparece 191 veces         
Rango -> 207         Palabra -> decia               Aparece 190 veces         
Rango -> 208         Palabra -> primero             Aparece 190 veces         
Rango -> 209         Palabra -> duquesa             Aparece 189 veces         
Rango -> 210         Palabra -> mio                 Aparece 189 veces         
Rango -> 211         Palabra -> oh                  Aparece 188 veces         
Rango -> 212         Palabra -> llego               Aparece 187 veces         
Rango -> 213         Palabra -> nombre              Aparece 180 veces         
Rango -> 214         Palabra -> mucha               Aparece 180 veces         
Rango -> 215         Palabra -> voz                 Aparece 179 veces         
Rango -> 216         Palabra -> mismo               Aparece 178 veces         
Rango -> 217         Palabra -> duda                Aparece 177 veces         
Rango -> 218         Palabra -> paso                Aparece 177 veces         
Rango -> 219         Palabra -> aquellos            Aparece 176 veces         
Rango -> 220         Palabra -> adelante            Aparece 176 veces         
Rango -> 221         Palabra -> estaban             Aparece 175 veces         
Rango -> 222         Palabra -> mancha              Aparece 175 veces         
Rango -> 223         Palabra -> gobernador          Aparece 174 veces         
Rango -> 224         Palabra -> modo                Aparece 170 veces         
Rango -> 225         Palabra -> desde               Aparece 169 veces         
Rango -> 226         Palabra -> barbero             Aparece 167 veces         
Rango -> 227         Palabra -> nada                Aparece 166 veces         
Rango -> 228         Palabra -> segun               Aparece 164 veces         
Rango -> 229         Palabra -> hacia               Aparece 164 veces         
Rango -> 230         Palabra -> quedo               Aparece 163 veces         
Rango -> 231         Palabra -> toboso              Aparece 163 veces         
Rango -> 232         Palabra -> sido                Aparece 162 veces         
Rango -> 233         Palabra -> hija                Aparece 162 veces         
Rango -> 234         Palabra -> vuestro             Aparece 162 veces         
Rango -> 235         Palabra -> andantes            Aparece 162 veces         
Rango -> 236         Palabra -> dado                Aparece 162 veces         
Rango -> 237         Palabra -> estar               Aparece 162 veces         
Rango -> 238         Palabra -> iba                 Aparece 161 veces         
Rango -> 239         Palabra -> voluntad            Aparece 160 veces         
Rango -> 240         Palabra -> cuatro              Aparece 160 veces         
Rango -> 241         Palabra -> deseo               Aparece 159 veces         
Rango -> 242         Palabra -> quiso               Aparece 158 veces         
Rango -> 243         Palabra -> gente               Aparece 157 veces         
Rango -> 244         Palabra -> hace                Aparece 156 veces         
Rango -> 245         Palabra -> armas               Aparece 156 veces         
Rango -> 246         Palabra -> has                 Aparece 156 veces         
Rango -> 247         Palabra -> ventura             Aparece 155 veces         
Rango -> 248         Palabra -> cuales              Aparece 155 veces         
Rango -> 249         Palabra -> tales               Aparece 154 veces         
Rango -> 250         Palabra -> nunca               Aparece 154 veces         
Rango -> 251         Palabra -> rostro              Aparece 153 veces         
Rango -> 252         Palabra -> capitulo            Aparece 153 veces         
Rango -> 253         Palabra -> alma                Aparece 153 veces         
Rango -> 254         Palabra -> venia               Aparece 152 veces         
Rango -> 255         Palabra -> razon               Aparece 152 veces         
Rango -> 256         Palabra -> deste               Aparece 152 veces         
Rango -> 257         Palabra -> viendo              Aparece 151 veces         
Rango -> 258         Palabra -> entender            Aparece 151 veces         
Rango -> 259         Palabra -> señores             Aparece 151 veces         
Rango -> 260         Palabra -> siempre             Aparece 150 veces         
Rango -> 261         Palabra -> muerte              Aparece 150 veces         
Rango -> 262         Palabra -> tanta               Aparece 150 veces         
Rango -> 263         Palabra -> va                  Aparece 150 veces         
Rango -> 264         Palabra -> fueron              Aparece 149 veces         
Rango -> 265         Palabra -> agora               Aparece 149 veces         
Rango -> 266         Palabra -> camila              Aparece 148 veces         
Rango -> 267         Palabra -> cuerpo              Aparece 148 veces         
Rango -> 268         Palabra -> menester            Aparece 148 veces         
Rango -> 269         Palabra -> libros              Aparece 147 veces         
Rango -> 270         Palabra -> palabra             Aparece 147 veces         
Rango -> 271         Palabra -> doncella            Aparece 147 veces         
Rango -> 272         Palabra -> tienen              Aparece 147 veces         
Rango -> 273         Palabra -> mia                 Aparece 146 veces         
Rango -> 274         Palabra -> pregunto            Aparece 145 veces         
Rango -> 275         Palabra -> nuestra             Aparece 145 veces         
Rango -> 276         Palabra -> quiere              Aparece 144 veces         
Rango -> 277         Palabra -> entonces            Aparece 144 veces         
Rango -> 278         Palabra -> caballeria          Aparece 143 veces         
Rango -> 279         Palabra -> puso                Aparece 143 veces         
Rango -> 280         Palabra -> alguno              Aparece 143 veces         
Rango -> 281         Palabra -> lotario             Aparece 142 veces         
Rango -> 282         Palabra -> nadie               Aparece 142 veces         
Rango -> 283         Palabra -> hermosa             Aparece 141 veces         
Rango -> 284         Palabra -> suerte              Aparece 141 veces         
Rango -> 285         Palabra -> ninguna             Aparece 141 veces         
Rango -> 286         Palabra -> suelo               Aparece 141 veces         
Rango -> 287         Palabra -> adonde              Aparece 140 veces         
Rango -> 288         Palabra -> venta               Aparece 140 veces         
Rango -> 289         Palabra -> castillo            Aparece 140 veces         
Rango -> 290         Palabra -> ir                  Aparece 140 veces         
Rango -> 291         Palabra -> jamas               Aparece 140 veces         
Rango -> 292         Palabra -> dicen               Aparece 140 veces         
Rango -> 293         Palabra -> corazon             Aparece 140 veces         
Rango -> 294         Palabra -> anselmo             Aparece 138 veces         
Rango -> 295         Palabra -> vino                Aparece 137 veces         
Rango -> 296         Palabra -> rey                 Aparece 137 veces         
Rango -> 297         Palabra -> años                Aparece 137 veces         
Rango -> 298         Palabra -> pies                Aparece 137 veces         
Rango -> 299         Palabra -> persona             Aparece 136 veces         
Rango -> 300         Palabra -> caso                Aparece 135 veces         
Rango -> 301         Palabra -> fernando            Aparece 135 veces         
Rango -> 302         Palabra -> finalmente          Aparece 133 veces         
Rango -> 303         Palabra -> ese                 Aparece 133 veces         
Rango -> 304         Palabra -> tus                 Aparece 133 veces         
Rango -> 305         Palabra -> unos                Aparece 133 veces         
Rango -> 306         Palabra -> mala                Aparece 132 veces         
Rango -> 307         Palabra -> comenzo             Aparece 132 veces         
Rango -> 308         Palabra -> mayor               Aparece 132 veces         
Rango -> 309         Palabra -> voces               Aparece 132 veces         
Rango -> 310         Palabra -> poner               Aparece 131 veces         
Rango -> 311         Palabra -> fuerza              Aparece 129 veces         
Rango -> 312         Palabra -> aventura            Aparece 128 veces         
Rango -> 313         Palabra -> salir               Aparece 128 veces         
Rango -> 314         Palabra -> memoria             Aparece 127 veces         
Rango -> 315         Palabra -> ellas               Aparece 127 veces         
Rango -> 316         Palabra -> contra              Aparece 127 veces         
Rango -> 317         Palabra -> oido                Aparece 127 veces         
Rango -> 318         Palabra -> algo                Aparece 127 veces         
Rango -> 319         Palabra -> contento            Aparece 127 veces         
Rango -> 320         Palabra -> grandes             Aparece 126 veces         
Rango -> 321         Palabra -> mitad               Aparece 125 veces         
Rango -> 322         Palabra -> palabras            Aparece 125 veces         
Rango -> 323         Palabra -> amor                Aparece 125 veces         
Rango -> 324         Palabra -> fama                Aparece 124 veces         
Rango -> 325         Palabra -> delante             Aparece 124 veces         
Rango -> 326         Palabra -> libro               Aparece 124 veces         
Rango -> 327         Palabra -> causa               Aparece 124 veces         
Rango -> 328         Palabra -> tuvo                Aparece 123 veces         
Rango -> 329         Palabra -> hermosura           Aparece 123 veces         
Rango -> 330         Palabra -> posible             Aparece 123 veces         
Rango -> 331         Palabra -> cierto              Aparece 122 veces         
Rango -> 332         Palabra -> volvio              Aparece 121 veces         
Rango -> 333         Palabra -> algunos             Aparece 121 veces         
Rango -> 334         Palabra -> sabe                Aparece 119 veces         
Rango -> 335         Palabra -> rucio               Aparece 119 veces         
Rango -> 336         Palabra -> ventero             Aparece 118 veces         
Rango -> 337         Palabra -> demas               Aparece 117 veces         
Rango -> 338         Palabra -> estan               Aparece 116 veces         
Rango -> 339         Palabra -> insula              Aparece 116 veces         
Rango -> 340         Palabra -> seria               Aparece 116 veces         
Rango -> 341         Palabra -> pasar               Aparece 116 veces         
Rango -> 342         Palabra -> casi                Aparece 115 veces         
Rango -> 343         Palabra -> venir               Aparece 114 veces         
Rango -> 344         Palabra -> haya                Aparece 114 veces         
Rango -> 345         Palabra -> nuevo               Aparece 113 veces         
Rango -> 346         Palabra -> gobierno            Aparece 113 veces         
Rango -> 347         Palabra -> figura              Aparece 113 veces         
Rango -> 348         Palabra -> dejar               Aparece 112 veces         
Rango -> 349         Palabra -> espada              Aparece 112 veces         
Rango -> 350         Palabra -> ello                Aparece 112 veces         
Rango -> 351         Palabra -> debia               Aparece 112 veces         
Rango -> 352         Palabra -> dorotea             Aparece 111 veces         
Rango -> 353         Palabra -> esa                 Aparece 111 veces         
Rango -> 354         Palabra -> nosotros            Aparece 111 veces         
Rango -> 355         Palabra -> habeis              Aparece 111 veces         
Rango -> 356         Palabra -> loco                Aparece 111 veces         
Rango -> 357         Palabra -> tantas              Aparece 110 veces         
Rango -> 358         Palabra -> siendo              Aparece 110 veces         
Rango -> 359         Palabra -> bachiller           Aparece 109 veces         
Rango -> 360         Palabra -> junto               Aparece 109 veces         
Rango -> 361         Palabra -> bueno               Aparece 109 veces         
Rango -> 362         Palabra -> pena                Aparece 109 veces         
Rango -> 363         Palabra -> hora                Aparece 108 veces         
Rango -> 364         Palabra -> muerto              Aparece 107 veces         
Rango -> 365         Palabra -> triste              Aparece 107 veces         
Rango -> 366         Palabra -> da                  Aparece 107 veces         
Rango -> 367         Palabra -> aquello             Aparece 107 veces         
Rango -> 368         Palabra -> volver              Aparece 107 veces         
Rango -> 369         Palabra -> tomar               Aparece 106 veces         
Rango -> 370         Palabra -> intencion           Aparece 106 veces         
Rango -> 371         Palabra -> boca                Aparece 106 veces         
Rango -> 372         Palabra -> daba                Aparece 106 veces         
Rango -> 373         Palabra -> hermano             Aparece 106 veces         
Rango -> 374         Palabra -> ocasion             Aparece 105 veces         
Rango -> 375         Palabra -> buscar              Aparece 105 veces         
Rango -> 376         Palabra -> poder               Aparece 105 veces         
Rango -> 377         Palabra -> pueblo              Aparece 104 veces         
Rango -> 378         Palabra -> della               Aparece 104 veces         
Rango -> 379         Palabra -> apenas              Aparece 104 veces         
Rango -> 380         Palabra -> hombres             Aparece 103 veces         
Rango -> 381         Palabra -> pedro               Aparece 103 veces         
Rango -> 382         Palabra -> ciudad              Aparece 102 veces         
Rango -> 383         Palabra -> partes              Aparece 102 veces         
Rango -> 384         Palabra -> pensamientos        Aparece 102 veces         
Rango -> 385         Palabra -> lengua              Aparece 102 veces         
Rango -> 386         Palabra -> aquellas            Aparece 101 veces         
Rango -> 387         Palabra -> cardenio            Aparece 101 veces         
Rango -> 388         Palabra -> unas                Aparece 101 veces         
Rango -> 389         Palabra -> estoy               Aparece 101 veces         
Rango -> 390         Palabra -> buenos              Aparece 101 veces         
Rango -> 391         Palabra -> hallo               Aparece 101 veces         
Rango -> 392         Palabra -> hijo                Aparece 100 veces         
Rango -> 393         Palabra -> parecio             Aparece 100 veces         
Rango -> 394         Palabra -> ninguno             Aparece 100 veces         
Rango -> 395         Palabra -> llevar              Aparece 100 veces         
Rango -> 396         Palabra -> estado              Aparece 100 veces         
Rango -> 397         Palabra -> medio               Aparece 100 veces         
Rango -> 398         Palabra -> luscinda            Aparece 99 veces          
Rango -> 399         Palabra -> tantos              Aparece 99 veces          
Rango -> 400         Palabra -> comer               Aparece 99 veces          
Rango -> 401         Palabra -> lagrimas            Aparece 99 veces          
Rango -> 402         Palabra -> pudo                Aparece 99 veces          
Rango -> 403         Palabra -> dellos              Aparece 98 veces          
Rango -> 404         Palabra -> pobre               Aparece 98 veces          
Rango -> 405         Palabra -> cuantos             Aparece 97 veces          
Rango -> 406         Palabra -> queria              Aparece 97 veces          
Rango -> 407         Palabra -> pienso              Aparece 97 veces          
Rango -> 408         Palabra -> hablar              Aparece 97 veces          
Rango -> 409         Palabra -> creo                Aparece 97 veces          
Rango -> 410         Palabra -> puedo               Aparece 97 veces          
Rango -> 411         Palabra -> vista               Aparece 96 veces          
Rango -> 412         Palabra -> dejo                Aparece 96 veces          
Rango -> 413         Palabra -> carta               Aparece 96 veces          
Rango -> 414         Palabra -> orden               Aparece 95 veces          
Rango -> 415         Palabra -> parecia             Aparece 95 veces          
Rango -> 416         Palabra -> traia               Aparece 94 veces          
Rango -> 417         Palabra -> oro                 Aparece 94 veces          
Rango -> 418         Palabra -> sabia               Aparece 94 veces          
Rango -> 419         Palabra -> buenas              Aparece 94 veces          
Rango -> 420         Palabra -> aposento            Aparece 93 veces          
Rango -> 421         Palabra -> diablo              Aparece 93 veces          
Rango -> 422         Palabra -> primera             Aparece 93 veces          
Rango -> 423         Palabra -> hubo                Aparece 93 veces          
Rango -> 424         Palabra -> viene               Aparece 93 veces          
Rango -> 425         Palabra -> famoso              Aparece 93 veces          
Rango -> 426         Palabra -> podria              Aparece 92 veces          
Rango -> 427         Palabra -> aventuras           Aparece 92 veces          
Rango -> 428         Palabra -> fe                  Aparece 92 veces          
Rango -> 429         Palabra -> estando             Aparece 92 veces          
Rango -> 430         Palabra -> suyo                Aparece 91 veces          
Rango -> 431         Palabra -> mira                Aparece 91 veces          
Rango -> 432         Palabra -> conmigo             Aparece 91 veces          
Rango -> 433         Palabra -> brazos              Aparece 91 veces          
Rango -> 434         Palabra -> cabo                Aparece 90 veces          
Rango -> 435         Palabra -> dando               Aparece 90 veces          
Rango -> 436         Palabra -> entrar              Aparece 89 veces          
Rango -> 437         Palabra -> pudiera             Aparece 89 veces          
Rango -> 438         Palabra -> pensar              Aparece 89 veces          
Rango -> 439         Palabra -> cuento              Aparece 88 veces          
Rango -> 440         Palabra -> quisiera            Aparece 88 veces          
Rango -> 441         Palabra -> asno                Aparece 88 veces          
Rango -> 442         Palabra -> trabajo             Aparece 87 veces          
Rango -> 443         Palabra -> salio               Aparece 87 veces          
Rango -> 444         Palabra -> dieron              Aparece 87 veces          
Rango -> 445         Palabra -> suele               Aparece 87 veces          
Rango -> 446         Palabra -> teresa              Aparece 87 veces          
Rango -> 447         Palabra -> mozo                Aparece 86 veces          
Rango -> 448         Palabra -> habiendo            Aparece 86 veces          
Rango -> 449         Palabra -> mañana              Aparece 86 veces          
Rango -> 450         Palabra -> puerta              Aparece 86 veces          
Rango -> 451         Palabra -> vuestras            Aparece 86 veces          
Rango -> 452         Palabra -> algunas             Aparece 86 veces          
Rango -> 453         Palabra -> mesma               Aparece 85 veces          
Rango -> 454         Palabra -> campo               Aparece 85 veces          
Rango -> 455         Palabra -> pecho               Aparece 85 veces          
Rango -> 456         Palabra -> autor               Aparece 84 veces          
Rango -> 457         Palabra -> gana                Aparece 84 veces          
Rango -> 458         Palabra -> juicio              Aparece 84 veces          
Rango -> 459         Palabra -> valor               Aparece 84 veces          
Rango -> 460         Palabra -> tras                Aparece 83 veces          
Rango -> 461         Palabra -> pueden              Aparece 83 veces          
Rango -> 462         Palabra -> nuevas              Aparece 83 veces          
Rango -> 463         Palabra -> cuya                Aparece 82 veces          
Rango -> 464         Palabra -> ti                  Aparece 82 veces          
Rango -> 465         Palabra -> sazon               Aparece 82 veces          
Rango -> 466         Palabra -> llaman              Aparece 81 veces          
Rango -> 467         Palabra -> batalla             Aparece 81 veces          
Rango -> 468         Palabra -> entendimiento       Aparece 81 veces          
Rango -> 469         Palabra -> mando               Aparece 81 veces          
Rango -> 470         Palabra -> libertad            Aparece 81 veces          
Rango -> 471         Palabra -> madre               Aparece 80 veces          
Rango -> 472         Palabra -> tenga               Aparece 80 veces          
Rango -> 473         Palabra -> quiza               Aparece 80 veces          
Rango -> 474         Palabra -> natural             Aparece 80 veces          
Rango -> 475         Palabra -> sean                Aparece 80 veces          
Rango -> 476         Palabra -> pueda               Aparece 80 veces          
Rango -> 477         Palabra -> cuan                Aparece 79 veces          
Rango -> 478         Palabra -> falta               Aparece 79 veces          
Rango -> 479         Palabra -> desgracia           Aparece 79 veces          
Rango -> 480         Palabra -> caballerias         Aparece 79 veces          
Rango -> 481         Palabra -> zoraida             Aparece 78 veces          
Rango -> 482         Palabra -> peligro             Aparece 78 veces          
Rango -> 483         Palabra -> alla                Aparece 78 veces          
Rango -> 484         Palabra -> cerca               Aparece 78 veces          
Rango -> 485         Palabra -> sol                 Aparece 78 veces          
